# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 1                                    -6.972346             0.926668                      -6.045678 
 2                                    -6.970823             0.925180                      -6.045643 
 3                                    -6.966223             0.920683                      -6.045540 
 4                                    -6.958447             0.913079                      -6.045369 
 5                                    -6.947332             0.902201                      -6.045131 
 6                                    -6.932652             0.887826                      -6.044826 
 7                                    -6.914141             0.869684                      -6.044457 
 8                                    -6.891510             0.847486                      -6.044024 
 9                                    -6.864485             0.820956                      -6.043529 
 10                                   -6.832866             0.789886                      -6.042980 
 11                                   -6.796622             0.754210                      -6.042412 
 12                                   -6.755932             0.714095                      -6.041837 
 13                                   -6.711287             0.670041                      -6.041246 
 14                                   -6.663662             0.622970                      -6.040692 
 15                                   -6.614417             0.574260                      -6.040157 
 16                                   -6.565334             0.525693                      -6.039642 
 17                                   -6.518444             0.479289                      -6.039155 
 18                                   -6.475781             0.437053                      -6.038728 
 19                                   -6.439052             0.400695                      -6.038357 
 20                                   -6.409478             0.371407                      -6.038072 
 21                                   -6.387622             0.349749                      -6.037873 
 22                                   -6.373410             0.335664                      -6.037746 
 23                                   -6.366252             0.328582                      -6.037670 
 24                                   -6.365197             0.327574                      -6.037623 
 25                                   -6.369131             0.331526                      -6.037604 
 26                                   -6.376908             0.339295                      -6.037613 
 27                                   -6.387441             0.349816                      -6.037625 
 28                                   -6.399810             0.362168                      -6.037642 
 29                                   -6.413240             0.375586                      -6.037654 
 30                                   -6.427100             0.389435                      -6.037665 
 31                                   -6.440874             0.403180                      -6.037694 
 32                                   -6.454088             0.416351                      -6.037737 
 33                                   -6.466316             0.428541                      -6.037775 
 34                                   -6.477239             0.439408                      -6.037831 
 35                                   -6.486583             0.448686                      -6.037897 
 36                                   -6.494156             0.456191                      -6.037964 
 37                                   -6.499862             0.461825                      -6.038037 
 38                                   -6.503664             0.465556                      -6.038109 
 39                                   -6.505578             0.467407                      -6.038170 
 40                                   -6.505679             0.467443                      -6.038236 
 41                                   -6.504037             0.465755                      -6.038282 
 42                                   -6.500795             0.462462                      -6.038333 
 43                                   -6.496077             0.457714                      -6.038363 
 44                                   -6.490089             0.451697                      -6.038392 
 45                                   -6.483070             0.444645                      -6.038425 
 46                                   -6.475303             0.436850                      -6.038453 
 47                                   -6.467135             0.428665                      -6.038470 
 48                                   -6.458960             0.420501                      -6.038459 
 49                                   -6.451261             0.412816                      -6.038444 
 50                                   -6.444510             0.406089                      -6.038421 
 51                                   -6.439195             0.400781                      -6.038413 
 52                                   -6.435717             0.397290                      -6.038427 
 53                                   -6.434372             0.395903                      -6.038469 
 54                                   -6.435285             0.396762                      -6.038523 
 55                                   -6.438437             0.399847                      -6.038591 
 56                                   -6.443640             0.404982                      -6.038659 
 57                                   -6.450592             0.411865                      -6.038727 
 58                                   -6.458908             0.420108                      -6.038801 
 59                                   -6.468145             0.429274                      -6.038871 
 60                                   -6.477853             0.438917                      -6.038936 
 61                                   -6.487611             0.448609                      -6.039002 
 62                                   -6.497026             0.457963                      -6.039063 
 63                                   -6.505771             0.466651                      -6.039120 
 64                                   -6.513626             0.474423                      -6.039203 
 65                                   -6.520346             0.481111                      -6.039236 
 66                                   -6.525892             0.486631                      -6.039260 
 67                                   -6.530266             0.490976                      -6.039289 
 68                                   -6.533510             0.494195                      -6.039314 
 69                                   -6.535711             0.496373                      -6.039338 
 70                                   -6.536958             0.497611                      -6.039348 
 71                                   -6.537364             0.498009                      -6.039355 
 72                                   -6.537031             0.497657                      -6.039373 
 73                                   -6.536005             0.496634                      -6.039371 
 74                                   -6.534361             0.495003                      -6.039358 
 75                                   -6.532173             0.492823                      -6.039350 
 76                                   -6.529490             0.490152                      -6.039338 
 77                                   -6.526396             0.487064                      -6.039332 
 78                                   -6.522992             0.483656                      -6.039336 
 79                                   -6.519430             0.480075                      -6.039354 
