# Pair distribution Function Ar
# Distance(reduced units)                   G(r) 
 0.025194                                     0 
 0.075582                                     0 
 0.125970                                     0 
 0.176358                                     0 
 0.226745                                     0 
 0.277133                                     0 
 0.327521                                     0 
 0.377909                                     0 
 0.428297                                     0 
 0.478685                                     0 
 0.529073                                     0 
 0.579461                                     0 
 0.629849                                     0 
 0.680236                                     0 
 0.730624                                     0 
 0.781012                                     0 
 0.831400                                     0 
 0.881788                                     0 
 0.932176                                     0 
 0.982564                                     4 
 1.032952                                    46 
 1.083340                                   154 
 1.133727                                   284 
 1.184115                                   260 
 1.234503                                   232 
 1.284891                                   172 
 1.335279                                    84 
 1.385667                                    46 
 1.436055                                    16 
 1.486443                                    30 
 1.536831                                    54 
 1.587218                                    80 
 1.637606                                   120 
 1.687994                                   102 
 1.738382                                   116 
 1.788770                                    72 
 1.839158                                   106 
 1.889546                                   130 
 1.939934                                   272 
 1.990321                                   432 
 2.040709                                   492 
 2.091097                                   454 
 2.141485                                   372 
 2.191873                                   306 
 2.242261                                   216 
 2.292649                                   210 
 2.343037                                   286 
 2.393425                                   252 
 2.443812                                   300 
 2.494200                                   272 
 2.544588                                   338 
 2.594976                                   408 
 2.645364                                   320 
 2.695752                                   114 
 2.746140                                    64 
 2.796528                                    84 
 2.846916                                   158 
 2.897303                                   212 
 2.947691                                   328 
 2.998079                                   496 
 3.048467                                   660 
 3.098855                                   636 
 3.149243                                   494 
 3.199631                                   224 
 3.250019                                    66 
 3.300407                                    24 
 3.350794                                    34 
 3.401182                                    72 
 3.451570                                    86 
 3.501958                                   102 
 3.552346                                    16 
 3.602734                                     4 
 3.653122                                    20 
 3.703510                                    34 
 3.753897                                    84 
 3.804285                                   178 
 3.854673                                   162 
 3.905061                                   118 
 3.955449                                    32 
 4.005837                                    14 
 4.056225                                     2 
 4.106613                                     0 
 4.157001                                     0 
 4.207388                                     0 
 4.257776                                     0 
 4.308164                                     0 
 4.358552                                     0 
 4.408940                                     0 
 4.459328                                     0 
 4.509716                                     0 
 4.560104                                     0 
 4.610492                                     0 
 4.660879                                     0 
 4.711267                                     0 
 4.761655                                     0 
 4.812043                                     0 
 4.862431                                     0 
 4.912819                                     0 
 4.963207                                     0 
 5.013595                                     0 
