# Positions of the atoms in each direction in reduced units at the initial state for  Ar
 Atom                                      r(x)                 r(y)                 r(z) 
 1                                    -2.519394            -2.519394            -2.519394 
 2                                    -1.679596            -1.679596            -2.519394 
 3                                    -1.679596            -2.519394            -1.679596 
 4                                    -2.519394            -1.679596            -1.679596 
 5                                    -2.519394            -2.519394            -0.839798 
 6                                    -1.679596            -1.679596            -0.839798 
 7                                    -1.679596            -2.519394             0.000000 
 8                                    -2.519394            -1.679596             0.000000 
 9                                    -2.519394            -2.519394             0.839798 
 10                                   -1.679596            -1.679596             0.839798 
 11                                   -1.679596            -2.519394             1.679596 
 12                                   -2.519394            -1.679596             1.679596 
 13                                   -2.519394            -0.839798            -2.519394 
 14                                   -1.679596             0.000000            -2.519394 
 15                                   -1.679596            -0.839798            -1.679596 
 16                                   -2.519394             0.000000            -1.679596 
 17                                   -2.519394            -0.839798            -0.839798 
 18                                   -1.679596             0.000000            -0.839798 
 19                                   -1.679596            -0.839798             0.000000 
 20                                   -2.519394             0.000000             0.000000 
 21                                   -2.519394            -0.839798             0.839798 
 22                                   -1.679596             0.000000             0.839798 
 23                                   -1.679596            -0.839798             1.679596 
 24                                   -2.519394             0.000000             1.679596 
 25                                   -2.519394             0.839798            -2.519394 
 26                                   -1.679596             1.679596            -2.519394 
 27                                   -1.679596             0.839798            -1.679596 
 28                                   -2.519394             1.679596            -1.679596 
 29                                   -2.519394             0.839798            -0.839798 
 30                                   -1.679596             1.679596            -0.839798 
 31                                   -1.679596             0.839798             0.000000 
 32                                   -2.519394             1.679596             0.000000 
 33                                   -2.519394             0.839798             0.839798 
 34                                   -1.679596             1.679596             0.839798 
 35                                   -1.679596             0.839798             1.679596 
 36                                   -2.519394             1.679596             1.679596 
 37                                   -0.839798            -2.519394            -2.519394 
 38                                    0.000000            -1.679596            -2.519394 
 39                                    0.000000            -2.519394            -1.679596 
 40                                   -0.839798            -1.679596            -1.679596 
 41                                   -0.839798            -2.519394            -0.839798 
 42                                    0.000000            -1.679596            -0.839798 
 43                                    0.000000            -2.519394             0.000000 
 44                                   -0.839798            -1.679596             0.000000 
 45                                   -0.839798            -2.519394             0.839798 
 46                                    0.000000            -1.679596             0.839798 
 47                                    0.000000            -2.519394             1.679596 
 48                                   -0.839798            -1.679596             1.679596 
 49                                   -0.839798            -0.839798            -2.519394 
 50                                    0.000000             0.000000            -2.519394 
 51                                    0.000000            -0.839798            -1.679596 
 52                                   -0.839798             0.000000            -1.679596 
 53                                   -0.839798            -0.839798            -0.839798 
 54                                    0.000000             0.000000            -0.839798 
 55                                    0.000000            -0.839798             0.000000 
 56                                   -0.839798             0.000000             0.000000 
 57                                   -0.839798            -0.839798             0.839798 
 58                                    0.000000             0.000000             0.839798 
 59                                    0.000000            -0.839798             1.679596 
 60                                   -0.839798             0.000000             1.679596 
 61                                   -0.839798             0.839798            -2.519394 
 62                                    0.000000             1.679596            -2.519394 
 63                                    0.000000             0.839798            -1.679596 
 64                                   -0.839798             1.679596            -1.679596 
 65                                   -0.839798             0.839798            -0.839798 
 66                                    0.000000             1.679596            -0.839798 
 67                                    0.000000             0.839798             0.000000 
 68                                   -0.839798             1.679596             0.000000 
 69                                   -0.839798             0.839798             0.839798 
 70                                    0.000000             1.679596             0.839798 
 71                                    0.000000             0.839798             1.679596 
 72                                   -0.839798             1.679596             1.679596 
 73                                    0.839798            -2.519394            -2.519394 
 74                                    1.679596            -1.679596            -2.519394 
 75                                    1.679596            -2.519394            -1.679596 
 76                                    0.839798            -1.679596            -1.679596 
 77                                    0.839798            -2.519394            -0.839798 
 78                                    1.679596            -1.679596            -0.839798 
 79                                    1.679596            -2.519394             0.000000 
 80                                    0.839798            -1.679596             0.000000 
 81                                    0.839798            -2.519394             0.839798 
 82                                    1.679596            -1.679596             0.839798 
 83                                    1.679596            -2.519394             1.679596 
 84                                    0.839798            -1.679596             1.679596 
 85                                    0.839798            -0.839798            -2.519394 
 86                                    1.679596             0.000000            -2.519394 
 87                                    1.679596            -0.839798            -1.679596 
 88                                    0.839798             0.000000            -1.679596 
 89                                    0.839798            -0.839798            -0.839798 
 90                                    1.679596             0.000000            -0.839798 
 91                                    1.679596            -0.839798             0.000000 
 92                                    0.839798             0.000000             0.000000 
 93                                    0.839798            -0.839798             0.839798 
 94                                    1.679596             0.000000             0.839798 
 95                                    1.679596            -0.839798             1.679596 
 96                                    0.839798             0.000000             1.679596 
 97                                    0.839798             0.839798            -2.519394 
 98                                    1.679596             1.679596            -2.519394 
 99                                    1.679596             0.839798            -1.679596 
 100                                   0.839798             1.679596            -1.679596 
 101                                   0.839798             0.839798            -0.839798 
 102                                   1.679596             1.679596            -0.839798 
 103                                   1.679596             0.839798             0.000000 
 104                                   0.839798             1.679596             0.000000 
 105                                   0.839798             0.839798             0.839798 
 106                                   1.679596             1.679596             0.839798 
 107                                   1.679596             0.839798             1.679596 
 108                                   0.839798             1.679596             1.679596 
