# Data of the potential and magnitude of the force versus distance for Ar
# The distances are values between the maximum and minimum distance between the particles of the first state
# The potential and the force are shifted to avoid discontinuity at the cutOff Radius rc= 2.5
# Epsilon and Sigma in reudced units are 1
# Distance(sigma units)              Potential Energy             Force 
1.187654                             -0.952307               -2.029986 
1.202334                             -0.920069               -2.194113 
1.217014                             -0.885909               -2.294422 
1.231694                             -0.850657               -2.345018 
1.246375                             -0.814956               -2.357173 
1.261055                             -0.779303               -2.339892 
1.275735                             -0.744074               -2.300358 
1.290415                             -0.709554               -2.244294 
1.305096                             -0.675949               -2.176246 
1.319776                             -0.643409               -2.099818 
1.334456                             -0.612035               -2.017856 
1.349136                             -0.581890               -1.932593 
1.363816                             -0.553010               -1.845774 
1.378497                             -0.525408               -1.758749 
1.393177                             -0.499079               -1.672552 
1.407857                             -0.474003               -1.587966 
1.422537                             -0.450155               -1.505568 
1.437217                             -0.427496               -1.425779 
1.451898                             -0.405989               -1.348886 
1.466578                             -0.385587               -1.275079 
1.481258                             -0.366246               -1.204467 
1.495938                             -0.347918               -1.137096 
1.510618                             -0.330555               -1.072965 
1.525299                             -0.314109               -1.012035 
1.539979                             -0.298535               -0.954238 
1.554659                             -0.283788               -0.899489 
1.569339                             -0.269822               -0.847685 
1.584019                             -0.256595               -0.798715 
1.598700                             -0.244068               -0.752459 
1.613380                             -0.232200               -0.708796 
1.628060                             -0.220955               -0.667602 
1.642740                             -0.210297               -0.628755 
1.657421                             -0.200193               -0.592133 
1.672101                             -0.190612               -0.557618 
1.686781                             -0.181522               -0.525094 
1.701461                             -0.172895               -0.494452 
1.716141                             -0.164706               -0.465585 
1.730822                             -0.156927               -0.438390 
1.745502                             -0.149537               -0.412771 
1.760182                             -0.142511               -0.388636 
1.774862                             -0.135829               -0.365897 
1.789542                             -0.129471               -0.344471 
1.804223                             -0.123419               -0.324279 
1.818903                             -0.117655               -0.305248 
1.833583                             -0.112162               -0.287308 
1.848263                             -0.106924               -0.270393 
1.862943                             -0.101928               -0.254442 
1.877624                             -0.097159               -0.239396 
1.892304                             -0.092605               -0.225201 
1.906984                             -0.088253               -0.211805 
1.921664                             -0.084092               -0.199160 
1.936345                             -0.080112               -0.187222 
1.951025                             -0.076302               -0.175947 
1.965705                             -0.072653               -0.165297 
1.980385                             -0.069156               -0.155233 
1.995065                             -0.065803               -0.145720 
2.009746                             -0.062585               -0.136727 
2.024426                             -0.059496               -0.128222 
2.039106                             -0.056528               -0.120177 
2.053786                             -0.053675               -0.112564 
2.068466                             -0.050931               -0.105358 
2.083147                             -0.048290               -0.098535 
2.097827                             -0.045746               -0.092073 
2.112507                             -0.043295               -0.085951 
2.127187                             -0.040931               -0.080150 
2.141867                             -0.038650               -0.074651 
2.156548                             -0.036448               -0.069437 
2.171228                             -0.034320               -0.064492 
2.185908                             -0.032263               -0.059799 
2.200588                             -0.030273               -0.055346 
2.215268                             -0.028347               -0.051119 
2.229949                             -0.026481               -0.047105 
2.244629                             -0.024673               -0.043292 
2.259309                             -0.022919               -0.039669 
2.273989                             -0.021217               -0.036226 
2.288670                             -0.019564               -0.032953 
2.303350                             -0.017959               -0.029840 
2.318030                             -0.016397               -0.026879 
2.332710                             -0.014879               -0.024062 
2.347390                             -0.013400               -0.021380 
2.362071                             -0.011960               -0.018828 
2.376751                             -0.010557               -0.016397 
2.391431                             -0.009188               -0.014081 
2.406111                             -0.007853               -0.011875 
2.420791                             -0.006549               -0.009773 
2.435472                             -0.005275               -0.007768 
2.450152                             -0.004030               -0.005857 
2.464832                             -0.002813               -0.004034 
2.479512                             -0.001621               -0.002295 
2.494192                             -0.000455               -0.000636 
2.508873                              0.000000                0.000000 
2.523553                              0.000000                0.000000 
2.538233                              0.000000                0.000000 
2.552913                              0.000000                0.000000 
2.567594                              0.000000                0.000000 
2.582274                              0.000000                0.000000 
2.596954                              0.000000                0.000000 
2.611634                              0.000000                0.000000 
2.626314                              0.000000                0.000000 
2.640995                              0.000000                0.000000 
