# Velocities of the atoms in each direction in reduced units at the initial state for  Ar
# The variance of the normal (Gaussian) distribution is = 0.8497058314499201
 Atom                                      V(x)                 V(y)                 V(z) 
 1                                      1.34708              0.53316             -0.60708 
 2                                      0.51325              0.38567              1.31826 
 3                                     -0.09327              0.70470             -0.44600 
 4                                      0.49606             -0.29272              0.47099 
 5                                     -0.70270             -0.17840             -0.03804 
 6                                      0.92150             -0.74495              0.23411 
 7                                      0.11824             -0.30195             -0.88745 
 8                                     -0.60522              0.12239             -0.49024 
 9                                     -0.86259             -0.21240             -0.51748 
 10                                    -0.14576             -0.76428             -0.64173 
 11                                    -1.52457              0.16682              0.60466 
 12                                     0.63859              0.45862              0.78347 
 13                                    -0.66412             -0.61301              0.56754 
 14                                    -0.18909             -0.27836              1.61156 
 15                                     0.13061             -1.32503             -0.68689 
 16                                    -0.02245              0.36748             -1.81247 
 17                                     0.51445              0.28212              1.19833 
 18                                    -0.68252              0.21062             -1.08050 
 19                                    -0.06817              0.59282              1.21486 
 20                                     0.19310             -0.62048             -0.45756 
 21                                     0.06792             -0.34109             -0.25774 
 22                                    -0.51565              0.03236             -1.85838 
 23                                     0.89650             -0.56225             -0.52632 
 24                                    -0.33453              1.05202              0.14091 
 25                                    -0.80995              1.69926              0.57282 
 26                                    -0.85546              0.75697             -0.07682 
 27                                     0.32466              0.41706             -0.54695 
 28                                     0.31456             -1.09084              0.76309 
 29                                     0.63810             -0.51434             -0.90210 
 30                                     0.19025              0.72361             -0.33047 
 31                                     1.20479              1.13636              0.36409 
 32                                     0.76891             -1.11882              0.39389 
 33                                    -0.02991             -1.06611              1.47002 
 34                                    -0.25485              0.85554             -0.27180 
 35                                    -0.58872              0.48739             -0.22238 
 36                                    -0.68429              0.30253              1.28348 
 37                                    -0.40641             -1.31889             -0.82732 
 38                                    -0.10670              0.06935             -0.03486 
 39                                    -0.30094              1.59029             -0.52515 
 40                                     0.21985              0.01145             -1.31798 
 41                                    -1.72313             -0.97044             -0.56827 
 42                                     1.09463              1.36990              0.71130 
 43                                    -1.16662             -0.42560              0.68161 
 44                                    -0.18730              0.15898              0.35441 
 45                                     0.18918              0.43319             -0.80333 
 46                                     0.40401              0.74145             -0.65961 
 47                                    -0.04382              0.79323             -0.51613 
 48                                     0.02964             -1.28497              0.73441 
 49                                    -0.79005             -0.12639             -0.08701 
 50                                     0.47008             -0.40434              0.79136 
 51                                    -0.14418             -0.78942              0.61562 
 52                                    -1.13624              0.55683              0.72342 
 53                                    -0.20457             -1.21598              0.03923 
 54                                    -0.27448             -0.01183             -0.61355 
 55                                     0.45627             -1.01566              1.44138 
 56                                     0.43782              0.31772              0.59312 
 57                                    -0.38092              0.26525              1.01297 
 58                                     0.87006              0.71585              0.66734 
 59                                     0.33243             -0.73259             -0.39997 
 60                                     0.56427              1.66804              0.80758 
 61                                     1.07246             -0.39156              0.45609 
 62                                    -0.68798             -0.48802              0.83064 
 63                                     1.02383             -0.65260             -0.03111 
 64                                     0.68850              0.75170             -1.14031 
 65                                     1.21607              0.78910              0.76338 
 66                                     0.26290             -0.26541             -0.06874 
 67                                    -1.21565             -0.64771             -2.13748 
 68                                     1.04137             -0.41047              0.33740 
 69                                     0.97951             -0.54817             -0.53109 
 70                                     0.92182              0.39542             -0.99210 
 71                                     0.27675              0.28298              0.27099 
 72                                    -0.91976              0.48115              0.21084 
 73                                    -0.52677              0.55584             -1.76051 
 74                                     0.09733              0.58069             -0.95642 
 75                                     0.32217             -0.47230              2.08087 
 76                                    -0.59139              0.07482              0.00125 
 77                                     1.32089             -0.32190             -0.68306 
 78                                    -1.53581             -0.73070              0.92676 
 79                                     0.69225             -0.53421             -0.01766 
 80                                    -0.05044             -1.17343              1.28253 
 81                                     0.62590             -0.54561              0.07357 
 82                                     0.78907              0.17614             -0.65572 
 83                                    -0.20840              1.57525              0.22222 
 84                                    -0.91535             -1.25258              0.10449 
 85                                    -2.32742              0.55429              0.56345 
 86                                     0.83844             -0.20797             -1.36672 
 87                                    -0.00793              0.78624             -0.23540 
 88                                    -0.04282             -0.41499             -0.09258 
 89                                     0.73608             -1.69070             -1.80174 
 90                                     0.20871             -0.65124              1.24709 
 91                                     0.84596              1.57763              1.31449 
 92                                    -1.35268              1.26461             -0.73987 
 93                                    -1.55485              0.91642             -0.75381 
 94                                    -0.02229             -0.99073             -0.64730 
 95                                    -0.09401             -1.77990              0.28987 
 96                                    -0.54305              0.33776             -0.37037 
 97                                     0.31684             -0.07203              0.64691 
 98                                     0.01441             -0.06198              0.41601 
 99                                    -0.10864             -0.14560              0.41317 
 100                                    0.90916              0.12402             -0.28554 
 101                                    0.36144              0.62661              0.18175 
 102                                    0.80837             -0.96830              0.54879 
 103                                   -0.45995             -0.61845             -1.02981 
 104                                    0.39166             -0.30887             -0.65568 
 105                                    0.60611              0.44435              0.68385 
 106                                   -0.26565             -0.38581             -0.73000 
 107                                   -0.11914              1.68301              0.46321 
 108                                   -1.66566              1.09535              0.19916 
