# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 1                                    -6.972346             1.058761                      -5.913585 
 2                                    -6.970676             1.057129                      -5.913547 
 3                                    -6.965625             1.052192                      -5.913433 
 4                                    -6.957067             1.043822                      -5.913245 
 5                                    -6.944795             1.031813                      -5.912982 
 6                                    -6.928535             1.015888                      -5.912647 
 7                                    -6.907960             0.995720                      -5.912239 
 8                                    -6.882723             0.970959                      -5.911764 
 9                                    -6.852505             0.941275                      -5.911230 
 10                                   -6.817093             0.906427                      -5.910666 
 11                                   -6.776437             0.866350                      -5.910087 
 12                                   -6.730774             0.821264                      -5.909510 
 13                                   -6.680724             0.771787                      -5.908938 
 14                                   -6.627405             0.719031                      -5.908374 
 15                                   -6.572471             0.664635                      -5.907836 
 16                                   -6.518021             0.610687                      -5.907335 
 17                                   -6.466410             0.559521                      -5.906889 
 18                                   -6.419938             0.513418                      -5.906520 
 19                                   -6.380504             0.474268                      -5.906236 
 20                                   -6.349358             0.443317                      -5.906041 
 21                                   -6.326968             0.421046                      -5.905922 
 22                                   -6.313069             0.407204                      -5.905865 
 23                                   -6.306809             0.400960                      -5.905849 
 24                                   -6.306952             0.401089                      -5.905862 
 25                                   -6.312069             0.406176                      -5.905893 
 26                                   -6.320706             0.414774                      -5.905933 
 27                                   -6.331493             0.425527                      -5.905965 
 28                                   -6.343250             0.437263                      -5.905987 
 29                                   -6.355036             0.449033                      -5.906002 
 30                                   -6.366153             0.460144                      -5.906010 
 31                                   -6.376156             0.470144                      -5.906012 
 32                                   -6.384812             0.478805                      -5.906007 
 33                                   -6.392066             0.486071                      -5.905994 
 34                                   -6.398001             0.492009                      -5.905993 
 35                                   -6.402754             0.496753                      -5.906001 
 36                                   -6.406481             0.500467                      -5.906013 
 37                                   -6.409348             0.503319                      -5.906029 
 38                                   -6.411509             0.505460                      -5.906049 
 39                                   -6.413094             0.507019                      -5.906075 
 40                                   -6.414199             0.508101                      -5.906098 
 41                                   -6.414915             0.508788                      -5.906127 
 42                                   -6.415326             0.509154                      -5.906172 
 43                                   -6.415493             0.509274                      -5.906219 
 44                                   -6.415495             0.509237                      -5.906258 
 45                                   -6.415454             0.509154                      -5.906300 
 46                                   -6.415481             0.509148                      -5.906333 
 47                                   -6.415709             0.509342                      -5.906367 
 48                                   -6.416242             0.509838                      -5.906404 
 49                                   -6.417139             0.510695                      -5.906445 
 50                                   -6.418405             0.511920                      -5.906486 
 51                                   -6.420004             0.513474                      -5.906531 
 52                                   -6.421856             0.515282                      -5.906574 
 53                                   -6.423871             0.517253                      -5.906617 
 54                                   -6.425949             0.519292                      -5.906657 
 55                                   -6.428004             0.521310                      -5.906693 
 56                                   -6.429966             0.523234                      -5.906732 
 57                                   -6.431778             0.525010                      -5.906768 
 58                                   -6.433408             0.526609                      -5.906798 
 59                                   -6.434860             0.528031                      -5.906829 
 60                                   -6.436164             0.529303                      -5.906861 
 61                                   -6.437374             0.530481                      -5.906893 
 62                                   -6.438567             0.531635                      -5.906931 
 63                                   -6.439818             0.532847                      -5.906972 
 64                                   -6.441204             0.534188                      -5.907015 
 65                                   -6.442777             0.535719                      -5.907058 
 66                                   -6.444577             0.537473                      -5.907104 
 67                                   -6.446599             0.539459                      -5.907141 
 68                                   -6.448833             0.541656                      -5.907177 
 69                                   -6.451248             0.544026                      -5.907222 
 70                                   -6.453774             0.546509                      -5.907265 
 71                                   -6.456337             0.549034                      -5.907303 
 72                                   -6.458860             0.551520                      -5.907341 
 73                                   -6.461259             0.553878                      -5.907381 
 74                                   -6.463442             0.556023                      -5.907418 
 75                                   -6.465330             0.557880                      -5.907451 
 76                                   -6.466874             0.559394                      -5.907480 
 77                                   -6.468050             0.560544                      -5.907506 
 78                                   -6.468868             0.561341                      -5.907526 
 79                                   -6.469374             0.561833                      -5.907542 
 80                                   -6.469642             0.562085                      -5.907557 
 81                                   -6.469742             0.562175                      -5.907568 
 82                                   -6.469749             0.562172                      -5.907577 
 83                                   -6.469723             0.562130                      -5.907593 
 84                                   -6.469687             0.562075                      -5.907612 
 85                                   -6.469637             0.562004                      -5.907634 
 86                                   -6.469528             0.561879                      -5.907649 
 87                                   -6.469311             0.561641                      -5.907670 
 88                                   -6.468902             0.561210                      -5.907692 
 89                                   -6.468219             0.560510                      -5.907709 
 90                                   -6.467211             0.559486                      -5.907725 
 91                                   -6.465858             0.558121                      -5.907738 
 92                                   -6.464192             0.556451                      -5.907740 
 93                                   -6.462303             0.554566                      -5.907738 
 94                                   -6.460319             0.552592                      -5.907728 
 95                                   -6.458390             0.550674                      -5.907716 
 96                                   -6.456640             0.548939                      -5.907701 
 97                                   -6.455161             0.547471                      -5.907690 
 98                                   -6.453979             0.546295                      -5.907684 
 99                                   -6.453062             0.545384                      -5.907678 
 100                                  -6.452353             0.544678                      -5.907674 
 101                                  -6.451789             0.544123                      -5.907666 
 102                                  -6.451350             0.543690                      -5.907661 
 103                                  -6.451048             0.543395                      -5.907653 
 104                                  -6.450947             0.543302                      -5.907644 
 105                                  -6.451145             0.543510                      -5.907635 
 106                                  -6.451749             0.544127                      -5.907622 
 107                                  -6.452857             0.545248                      -5.907609 
 108                                  -6.454529             0.546933                      -5.907596 
 109                                  -6.456782             0.549190                      -5.907592 
 110                                  -6.459570             0.551981                      -5.907589 
 111                                  -6.462818             0.555225                      -5.907593 
 112                                  -6.466420             0.558814                      -5.907605 
 113                                  -6.470233             0.562614                      -5.907619 
 114                                  -6.474106             0.566472                      -5.907634 
 115                                  -6.477882             0.570229                      -5.907653 
 116                                  -6.481406             0.573727                      -5.907679 
 117                                  -6.484518             0.576821                      -5.907696 
 118                                  -6.487099             0.579395                      -5.907704 
 119                                  -6.489072             0.581363                      -5.907709 
 120                                  -6.490388             0.582675                      -5.907713 
 121                                  -6.491046             0.583322                      -5.907724 
 122                                  -6.491061             0.583326                      -5.907735 
 123                                  -6.490472             0.582734                      -5.907738 
