# Pair distribution Function Ar
# Distance(reduced units)                   G(r) 
 0.050388                                     0 
 0.151164                                     0 
 0.251939                                     0 
 0.352715                                     0 
 0.453491                                     0 
 0.554267                                     0 
 0.655043                                     0 
 0.755818                                     0 
 0.856594                                     0 
 0.957370                                     0 
 1.058146                                     0 
 1.158921                                 10368 
 1.259697                                     0 
 1.360473                                     0 
 1.461249                                     0 
 1.562024                                     0 
 1.662800                                  5184 
 1.763576                                     0 
 1.864352                                     0 
 1.965128                                     0 
 2.065903                                 20736 
 2.166679                                     0 
 2.267455                                     0 
 2.368231                                 10368 
 2.469006                                     0 
 2.569782                                     0 
 2.670558                                 20736 
 2.771334                                     0 
 2.872109                                  6912 
 2.972885                                     0 
 3.073661                                     0 
 3.174437                                 41472 
 3.275213                                     0 
 3.375988                                  5184 
 3.476764                                     0 
 3.577540                                 31104 
 3.678316                                     0 
 3.779091                                 20736 
 3.879867                                     0 
 3.980643                                 20736 
 4.081419                                 20736 
 4.182195                                     0 
 4.282970                                 62208 
 4.383746                                     0 
 4.484522                                     0 
 4.585298                                 41472 
 4.686073                                     0 
 4.786849                                 10368 
 4.887625                                 41472 
 4.988401                                 10912 
 5.089176                                 12416 
 5.189952                                 51840 
 5.290728                                 10368 
 5.391504                                     0 
 5.492280                                 41472 
 5.593055                                 10368 
 5.693831                                 20736 
 5.794607                                  6912 
 5.895383                                 51840 
 5.996158                                     0 
 6.096934                                 10368 
 6.197710                                 31104 
 6.298486                                 20736 
 6.399261                                     0 
 6.500037                                     0 
 6.600813                                 20736 
 6.701589                                     0 
 6.802365                                 20736 
 6.903140                                 10368 
 7.003916                                 20736 
 7.104692                                  2592 
 7.205468                                     0 
 7.306243                                  5184 
 7.407019                                     0 
 7.507795                                     0 
 7.608571                                     0 
 7.709347                                     0 
 7.810122                                 10368 
 7.910898                                  5184 
 8.011674                                     0 
 8.112450                                     0 
 8.213225                                     0 
 8.314001                                     0 
 8.414777                                     0 
 8.515553                                     0 
 8.616328                                     0 
 8.717104                                   864 
 8.817880                                     0 
 8.918656                                     0 
 9.019432                                     0 
 9.120207                                     0 
 9.220983                                     0 
 9.321759                                     0 
 9.422535                                     0 
 9.523310                                     0 
 9.624086                                     0 
 9.724862                                     0 
 9.825638                                     0 
 9.926413                                     0 
 10.027189                                    0 
