# Positions of the atoms in each direction in reduced units at the initial state for  Ar
 Atom                                      r(x)                 r(y)                 r(z) 
 1                                    -5.038789            -5.038789            -5.038789 
 2                                    -4.198990            -4.198990            -5.038789 
 3                                    -4.198990            -5.038789            -4.198990 
 4                                    -5.038789            -4.198990            -4.198990 
 5                                    -5.038789            -5.038789            -3.359192 
 6                                    -4.198990            -4.198990            -3.359192 
 7                                    -4.198990            -5.038789            -2.519394 
 8                                    -5.038789            -4.198990            -2.519394 
 9                                    -5.038789            -5.038789            -1.679596 
 10                                   -4.198990            -4.198990            -1.679596 
 11                                   -4.198990            -5.038789            -0.839798 
 12                                   -5.038789            -4.198990            -0.839798 
 13                                   -5.038789            -5.038789             0.000000 
 14                                   -4.198990            -4.198990             0.000000 
 15                                   -4.198990            -5.038789             0.839798 
 16                                   -5.038789            -4.198990             0.839798 
 17                                   -5.038789            -5.038789             1.679596 
 18                                   -4.198990            -4.198990             1.679596 
 19                                   -4.198990            -5.038789             2.519394 
 20                                   -5.038789            -4.198990             2.519394 
 21                                   -5.038789            -5.038789             3.359192 
 22                                   -4.198990            -4.198990             3.359192 
 23                                   -4.198990            -5.038789             4.198990 
 24                                   -5.038789            -4.198990             4.198990 
 25                                   -5.038789            -3.359192            -5.038789 
 26                                   -4.198990            -2.519394            -5.038789 
 27                                   -4.198990            -3.359192            -4.198990 
 28                                   -5.038789            -2.519394            -4.198990 
 29                                   -5.038789            -3.359192            -3.359192 
 30                                   -4.198990            -2.519394            -3.359192 
 31                                   -4.198990            -3.359192            -2.519394 
 32                                   -5.038789            -2.519394            -2.519394 
 33                                   -5.038789            -3.359192            -1.679596 
 34                                   -4.198990            -2.519394            -1.679596 
 35                                   -4.198990            -3.359192            -0.839798 
 36                                   -5.038789            -2.519394            -0.839798 
 37                                   -5.038789            -3.359192             0.000000 
 38                                   -4.198990            -2.519394             0.000000 
 39                                   -4.198990            -3.359192             0.839798 
 40                                   -5.038789            -2.519394             0.839798 
 41                                   -5.038789            -3.359192             1.679596 
 42                                   -4.198990            -2.519394             1.679596 
 43                                   -4.198990            -3.359192             2.519394 
 44                                   -5.038789            -2.519394             2.519394 
 45                                   -5.038789            -3.359192             3.359192 
 46                                   -4.198990            -2.519394             3.359192 
 47                                   -4.198990            -3.359192             4.198990 
 48                                   -5.038789            -2.519394             4.198990 
 49                                   -5.038789            -1.679596            -5.038789 
 50                                   -4.198990            -0.839798            -5.038789 
 51                                   -4.198990            -1.679596            -4.198990 
 52                                   -5.038789            -0.839798            -4.198990 
 53                                   -5.038789            -1.679596            -3.359192 
 54                                   -4.198990            -0.839798            -3.359192 
 55                                   -4.198990            -1.679596            -2.519394 
 56                                   -5.038789            -0.839798            -2.519394 
 57                                   -5.038789            -1.679596            -1.679596 
 58                                   -4.198990            -0.839798            -1.679596 
 59                                   -4.198990            -1.679596            -0.839798 
 60                                   -5.038789            -0.839798            -0.839798 
 61                                   -5.038789            -1.679596             0.000000 
 62                                   -4.198990            -0.839798             0.000000 
 63                                   -4.198990            -1.679596             0.839798 
 64                                   -5.038789            -0.839798             0.839798 
 65                                   -5.038789            -1.679596             1.679596 
 66                                   -4.198990            -0.839798             1.679596 
 67                                   -4.198990            -1.679596             2.519394 
 68                                   -5.038789            -0.839798             2.519394 
 69                                   -5.038789            -1.679596             3.359192 
 70                                   -4.198990            -0.839798             3.359192 
 71                                   -4.198990            -1.679596             4.198990 
 72                                   -5.038789            -0.839798             4.198990 
 73                                   -5.038789             0.000000            -5.038789 
 74                                   -4.198990             0.839798            -5.038789 
 75                                   -4.198990             0.000000            -4.198990 
 76                                   -5.038789             0.839798            -4.198990 
 77                                   -5.038789             0.000000            -3.359192 
 78                                   -4.198990             0.839798            -3.359192 
 79                                   -4.198990             0.000000            -2.519394 
 80                                   -5.038789             0.839798            -2.519394 
 81                                   -5.038789             0.000000            -1.679596 
 82                                   -4.198990             0.839798            -1.679596 
 83                                   -4.198990             0.000000            -0.839798 
 84                                   -5.038789             0.839798            -0.839798 
 85                                   -5.038789             0.000000             0.000000 
 86                                   -4.198990             0.839798             0.000000 
 87                                   -4.198990             0.000000             0.839798 
 88                                   -5.038789             0.839798             0.839798 
 89                                   -5.038789             0.000000             1.679596 
 90                                   -4.198990             0.839798             1.679596 
 91                                   -4.198990             0.000000             2.519394 
 92                                   -5.038789             0.839798             2.519394 
 93                                   -5.038789             0.000000             3.359192 
 94                                   -4.198990             0.839798             3.359192 
 95                                   -4.198990             0.000000             4.198990 
 96                                   -5.038789             0.839798             4.198990 
 97                                   -5.038789             1.679596            -5.038789 
 98                                   -4.198990             2.519394            -5.038789 
 99                                   -4.198990             1.679596            -4.198990 
 100                                  -5.038789             2.519394            -4.198990 
 101                                  -5.038789             1.679596            -3.359192 
 102                                  -4.198990             2.519394            -3.359192 
 103                                  -4.198990             1.679596            -2.519394 
 104                                  -5.038789             2.519394            -2.519394 
 105                                  -5.038789             1.679596            -1.679596 
 106                                  -4.198990             2.519394            -1.679596 
 107                                  -4.198990             1.679596            -0.839798 
 108                                  -5.038789             2.519394            -0.839798 
 109                                  -5.038789             1.679596             0.000000 
 110                                  -4.198990             2.519394             0.000000 
 111                                  -4.198990             1.679596             0.839798 
 112                                  -5.038789             2.519394             0.839798 
 113                                  -5.038789             1.679596             1.679596 
 114                                  -4.198990             2.519394             1.679596 
 115                                  -4.198990             1.679596             2.519394 
 116                                  -5.038789             2.519394             2.519394 
 117                                  -5.038789             1.679596             3.359192 
 118                                  -4.198990             2.519394             3.359192 
 119                                  -4.198990             1.679596             4.198990 
 120                                  -5.038789             2.519394             4.198990 
 121                                  -5.038789             3.359192            -5.038789 
 122                                  -4.198990             4.198990            -5.038789 
 123                                  -4.198990             3.359192            -4.198990 
 124                                  -5.038789             4.198990            -4.198990 
 125                                  -5.038789             3.359192            -3.359192 
 126                                  -4.198990             4.198990            -3.359192 
 127                                  -4.198990             3.359192            -2.519394 
