# Velocities of the atoms in each direction in reduced units at the initial state for  Ar
# The variance of the normal (Gaussian) distribution is = 0.8497058314499201
 Atom                                      V(x)                 V(y)                 V(z) 
 1                                      1.37015              0.50829             -0.46390 
 2                                      0.53632              0.36080              1.46145 
 3                                     -0.07020              0.67984             -0.30281 
 4                                      0.51912             -0.31759              0.61417 
 5                                     -0.67963             -0.20327              0.10514 
 6                                      0.94456             -0.76982              0.37729 
 7                                      0.14130             -0.32682             -0.74427 
 8                                     -0.58216              0.09753             -0.34706 
 9                                     -0.83952             -0.23726             -0.37430 
 10                                    -0.12270             -0.78915             -0.49855 
 11                                    -1.50151              0.14195              0.74785 
 12                                     0.66166              0.43375              0.92665 
 13                                    -0.64106             -0.63788              0.71073 
 14                                    -0.16602             -0.30323              1.75475 
 15                                     0.15367             -1.34990             -0.54371 
 16                                     0.00061              0.34261             -1.66928 
 17                                     0.53751              0.25725              1.34151 
 18                                    -0.65946              0.18575             -0.93732 
 19                                    -0.04511              0.56795              1.35805 
 20                                     0.21617             -0.64534             -0.31438 
 21                                     0.09099             -0.36596             -0.11456 
 22                                    -0.49258              0.00749             -1.71519 
 23                                     0.91957             -0.58712             -0.38314 
 24                                    -0.31147              1.02715              0.28409 
 25                                    -0.78689              1.67439              0.71600 
 26                                    -0.83240              0.73210              0.06637 
 27                                     0.34772              0.39220             -0.40377 
 28                                     0.33762             -1.11571              0.90627 
 29                                     0.66117             -0.53921             -0.75892 
 30                                     0.21331              0.69874             -0.18729 
 31                                     1.22785              1.11150              0.50727 
 32                                     0.79197             -1.14369              0.53708 
 33                                    -0.00684             -1.09098              1.61321 
 34                                    -0.23179              0.83067             -0.12861 
 35                                    -0.56565              0.46253             -0.07920 
 36                                    -0.66122              0.27766              1.42666 
 37                                    -0.38335             -1.34376             -0.68413 
 38                                    -0.08364              0.04448              0.10832 
 39                                    -0.27788              1.56542             -0.38196 
 40                                     0.24291             -0.01341             -1.17479 
 41                                    -1.70007             -0.99531             -0.42508 
 42                                     1.11770              1.34503              0.85448 
 43                                    -1.14356             -0.45047              0.82479 
 44                                    -0.16424              0.13412              0.49760 
 45                                     0.21224              0.40832             -0.66015 
 46                                     0.42707              0.71659             -0.51642 
 47                                    -0.02076              0.76837             -0.37295 
 48                                     0.05270             -1.30984              0.87760 
 49                                    -0.76699             -0.15126              0.05617 
 50                                     0.49314             -0.42921              0.93455 
 51                                    -0.12112             -0.81429              0.75880 
 52                                    -1.11317              0.53197              0.86661 
 53                                    -0.18151             -1.24085              0.18242 
