# Histogram for the intial velocities of Ar
# The velocities are initially chosen randomly from a Gaussian distribution                
# The mean value of the normal (Gaussian) distribution is zero
# The variance of the normal (Gaussian) distribution is = 0.8497058314499201
# Velocity(reduced units)              Frequency 
 -5.000000                                    0 
 -4.900000                                    0 
 -4.800000                                    0 
 -4.700000                                    0 
 -4.600000                                    0 
 -4.500000                                    0 
 -4.400000                                    0 
 -4.300000                                    0 
 -4.200000                                    0 
 -4.100000                                    0 
 -4.000000                                    0 
 -3.900000                                    0 
 -3.800000                                    0 
 -3.700000                                    0 
 -3.600000                                    0 
 -3.500000                                    0 
 -3.400000                                    0 
 -3.300000                                    0 
 -3.200000                                    0 
 -3.100000                                    0 
 -3.000000                                    0 
 -2.900000                                    0 
 -2.800000                                    0 
 -2.700000                                    0 
 -2.600000                                    0 
 -2.500000                                    3 
 -2.400000                                    1 
 -2.300000                                    5 
 -2.200000                                    4 
 -2.100000                                    3 
 -2.000000                                    7 
 -1.900000                                   10 
 -1.800000                                    6 
 -1.700000                                   20 
 -1.600000                                   28 
 -1.500000                                   23 
 -1.400000                                   33 
 -1.300000                                   33 
 -1.200000                                   41 
 -1.100000                                   59 
 -1.000000                                   53 
 -0.900000                                   79 
 -0.800000                                   81 
 -0.700000                                   82 
 -0.600000                                   98 
 -0.500000                                  111 
 -0.400000                                  108 
 -0.300000                                  129 
 -0.200000                                  112 
 -0.100000                                  125 
 0.000000                                   118 
 0.100000                                   120 
 0.200000                                    96 
 0.300000                                   116 
 0.400000                                   112 
 0.500000                                    90 
 0.600000                                    91 
 0.700000                                    97 
 0.800000                                    87 
 0.900000                                    76 
 1.000000                                    64 
 1.100000                                    50 
 1.200000                                    43 
 1.300000                                    29 
 1.400000                                    37 
 1.500000                                    31 
 1.600000                                    24 
 1.700000                                    14 
 1.800000                                     9 
 1.900000                                     7 
 2.000000                                     9 
 2.100000                                     3 
 2.200000                                     8 
 2.300000                                     2 
 2.400000                                     0 
 2.500000                                     2 
 2.600000                                     1 
 2.700000                                     1 
 2.800000                                     0 
 2.900000                                     0 
 3.000000                                     1 
 3.100000                                     0 
 3.200000                                     0 
 3.300000                                     0 
 3.400000                                     0 
 3.500000                                     0 
 3.600000                                     0 
 3.700000                                     0 
 3.800000                                     0 
 3.900000                                     0 
 4.000000                                     0 
 4.100000                                     0 
 4.200000                                     0 
 4.300000                                     0 
 4.400000                                     0 
 4.500000                                     0 
 4.600000                                     0 
 4.700000                                     0 
 4.800000                                     0 
 4.900000                                     0 
