# Pair distribution Function Ar
# Distance(reduced units)                   G(r) 
 0.025194                                     0 
 0.075582                                     0 
 0.125970                                     0 
 0.176358                                     0 
 0.226745                                     0 
 0.277133                                     0 
 0.327521                                     0 
 0.377909                                     0 
 0.428297                                     0 
 0.478685                                     0 
 0.529073                                     0 
 0.579461                                     0 
 0.629849                                     0 
 0.680236                                     0 
 0.730624                                     0 
 0.781012                                     0 
 0.831400                                     0 
 0.881788                                     0 
 0.932176                                     0 
 0.982564                                     0 
 1.032952                                     0 
 1.083340                                     0 
 1.133727                                     0 
 1.184115                                  1296 
 1.234503                                     0 
 1.284891                                     0 
 1.335279                                     0 
 1.385667                                     0 
 1.436055                                     0 
 1.486443                                     0 
 1.536831                                     0 
 1.587218                                     0 
 1.637606                                     0 
 1.687994                                   648 
 1.738382                                     0 
 1.788770                                     0 
 1.839158                                     0 
 1.889546                                     0 
 1.939934                                     0 
 1.990321                                     0 
 2.040709                                  2592 
 2.091097                                     0 
 2.141485                                     0 
 2.191873                                     0 
 2.242261                                     0 
 2.292649                                     0 
 2.343037                                     0 
 2.393425                                  1296 
 2.443812                                     0 
 2.494200                                     0 
 2.544588                                     0 
 2.594976                                     0 
 2.645364                                  1296 
 2.695752                                     0 
 2.746140                                     0 
 2.796528                                     0 
 2.846916                                     0 
 2.897303                                   864 
 2.947691                                     0 
 2.998079                                     0 
 3.048467                                     0 
 3.098855                                     0 
 3.149243                                  2592 
 3.199631                                     0 
 3.250019                                     0 
 3.300407                                     0 
 3.350794                                     0 
 3.401182                                     0 
 3.451570                                     0 
 3.501958                                     0 
 3.552346                                   324 
 3.602734                                     0 
 3.653122                                     0 
 3.703510                                     0 
 3.753897                                     0 
 3.804285                                     0 
 3.854673                                     0 
 3.905061                                     0 
 3.955449                                   648 
 4.005837                                     0 
 4.056225                                     0 
 4.106613                                     0 
 4.157001                                     0 
 4.207388                                     0 
 4.257776                                     0 
 4.308164                                     0 
 4.358552                                     0 
 4.408940                                     0 
 4.459328                                     0 
 4.509716                                     0 
 4.560104                                     0 
 4.610492                                     0 
 4.660879                                     0 
 4.711267                                     0 
 4.761655                                     0 
 4.812043                                     0 
 4.862431                                     0 
 4.912819                                     0 
 4.963207                                     0 
 5.013595                                     0 
