# Histogram for the intial velocities of Ar
# The velocities are initially chosen randomly from a Gaussian distribution                
# The mean value of the normal (Gaussian) distribution is zero
# The variance of the normal (Gaussian) distribution is = 0.8497058314499201
# Velocity(reduced units)              Frequency 
 -5.000000                                    0 
 -4.900000                                    0 
 -4.800000                                    0 
 -4.700000                                    0 
 -4.600000                                    0 
 -4.500000                                    0 
 -4.400000                                    0 
 -4.300000                                    0 
 -4.200000                                    0 
 -4.100000                                    0 
 -4.000000                                    0 
 -3.900000                                    0 
 -3.800000                                    0 
 -3.700000                                    0 
 -3.600000                                    0 
 -3.500000                                    0 
 -3.400000                                    0 
 -3.300000                                    0 
 -3.200000                                    0 
 -3.100000                                    0 
 -3.000000                                    0 
 -2.900000                                    0 
 -2.800000                                    0 
 -2.700000                                    0 
 -2.600000                                    0 
 -2.500000                                    0 
 -2.400000                                    0 
 -2.300000                                    1 
 -2.200000                                    0 
 -2.100000                                    1 
 -2.000000                                    0 
 -1.900000                                    1 
 -1.800000                                    4 
 -1.700000                                    3 
 -1.600000                                    1 
 -1.500000                                    2 
 -1.400000                                    2 
 -1.300000                                    5 
 -1.200000                                    4 
 -1.100000                                    6 
 -1.000000                                    7 
 -0.900000                                    6 
 -0.800000                                    7 
 -0.700000                                   17 
 -0.600000                                   13 
 -0.500000                                   18 
 -0.400000                                   11 
 -0.300000                                   16 
 -0.200000                                    9 
 -0.100000                                   17 
 0.000000                                    17 
 0.100000                                    11 
 0.200000                                    14 
 0.300000                                    16 
 0.400000                                    15 
 0.500000                                    13 
 0.600000                                    18 
 0.700000                                    13 
 0.800000                                    16 
 0.900000                                     8 
 1.000000                                     4 
 1.100000                                     5 
 1.200000                                     5 
 1.300000                                     7 
 1.400000                                     2 
 1.500000                                     1 
 1.600000                                     4 
 1.700000                                     3 
 1.800000                                     0 
 1.900000                                     0 
 2.000000                                     0 
 2.100000                                     1 
 2.200000                                     0 
 2.300000                                     0 
 2.400000                                     0 
 2.500000                                     0 
 2.600000                                     0 
 2.700000                                     0 
 2.800000                                     0 
 2.900000                                     0 
 3.000000                                     0 
 3.100000                                     0 
 3.200000                                     0 
 3.300000                                     0 
 3.400000                                     0 
 3.500000                                     0 
 3.600000                                     0 
 3.700000                                     0 
 3.800000                                     0 
 3.900000                                     0 
 4.000000                                     0 
 4.100000                                     0 
 4.200000                                     0 
 4.300000                                     0 
 4.400000                                     0 
 4.500000                                     0 
 4.600000                                     0 
 4.700000                                     0 
 4.800000                                     0 
 4.900000                                     0 
